height,utc_time,bits,hex_bits,exponent,coefficient,target,bin_target,computational_complexity,hash_rate_tera
405087,2016-03-31 08:16:46,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405088,2016-03-31 08:21:58,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405089,2016-03-31 08:22:33,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405090,2016-03-31 08:27:30,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405091,2016-03-31 08:36:31,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405092,2016-03-31 08:58:35,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405093,2016-03-31 09:26:39,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405094,2016-03-31 09:34:17,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405095,2016-03-31 09:45:49,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405096,2016-03-31 09:51:58,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
405097,2016-03-31 10:02:23,403088579,0x1806a4c3,18,06a4c3,162900609378736249874251099581569547607832255884553093120,0b1101010010011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.108143405903721e+20,1184690.5676506201
